period_end,fy,fp,form,filed,total_revenue,cost_of_revenue,gross_profit,operating_income,net_income,total_assets,total_current_assets,cash_and_equivalents,inventory,total_liabilities,total_current_liabilities,total_equity,retained_earnings,operating_cash_flow,capital_expenditures,shares_outstanding,selling_general_admin,frequency,period_start,working_capital,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,lt_debt_to_equity,net_debt,gross_margin,operating_margin,net_margin,ocf_margin,fcf_margin,sgna_ratio,rnd_ratio,capex_ratio,interest_coverage,asset_turnover,inventory_turnover,working_capital_turnover,roa,roe,fcf_to_debt,ocf_to_current_liabilities,cash_burn_rate,liquidity_runway_quarters,altman_z_score,revenue_growth_qoq,net_income_growth_qoq,revenue_growth_yoy,net_income_growth_yoy,price_date,close,return_3m,return_6m,return_12m,rolling_vol_3m,rolling_vol_6m,drawdown_12m,market_cap,enterprise_value,ev_to_sales,spy_close,spy_return_3m,spy_return_6m,spy_return_12m,spy_rolling_vol_3m,spy_rolling_vol_6m,spy_drawdown_12m,excess_return_3m_spy,excess_return_6m_spy,excess_return_12m_spy,excess_drawdown_12m_spy,vol_spread_rolling_vol_3m_spy,vol_spread_rolling_vol_6m_spy,relative_price_spy,xrt_close,xrt_return_3m,xrt_return_6m,xrt_return_12m,xrt_rolling_vol_3m,xrt_rolling_vol_6m,xrt_drawdown_12m,excess_return_3m_xrt,excess_return_6m_xrt,excess_return_12m_xrt,excess_drawdown_12m_xrt,vol_spread_rolling_vol_3m_xrt,vol_spread_rolling_vol_6m_xrt,relative_price_xrt,etsy_close,etsy_return_3m,etsy_return_6m,etsy_return_12m,etsy_rolling_vol_3m,etsy_rolling_vol_6m,etsy_drawdown_12m,excess_return_3m_etsy,excess_return_6m_etsy,excess_return_12m_etsy,excess_drawdown_12m_etsy,vol_spread_rolling_vol_3m_etsy,vol_spread_rolling_vol_6m_etsy,relative_price_etsy,distress_flag,distress_reasons,altman_distress_flag,liquidity_crunch_flag,target_distress_flag,target_altman_distress_flag,target_liquidity_crunch_flag
2016-10-29,2018,Q1,10-Q,2017-12-20,,,110078000.0,26528000.0,13243000.0,,,,,,,,,,5478000.0,,83550000.0,quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.499,-0.01533313408620296,0.0322892887516224,0.03974730340497956,0.09509457148385354,0.11450957228914037,-0.024898261191269033,,,,,,,,38.4088,-0.05920275903962691,-0.048733793171770734,-0.06403095788129565,0.1569905345941446,0.17879992758366,-0.08943104850276551,,,,,,,,12.43,0.048060708263069074,0.46063454759106937,0.13932172318973413,0.4088674914433111,0.4816231922846643,-0.21378874130297287,,,,,,,,0,,0,0,0,0,0
2017-01-28,2018,Q2,10-Q,2018-03-13,,,106722000.0,887000.0,233000.0,,,,,,,,,,11367000.0,,105835000.0,quarterly,2016-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.982405799290191,,,,,,,,,,,,,,199.95,0.07758969135503069,0.06789220136938012,0.23683217557511593,0.08348907938703835,0.08962511516937302,-0.00251429255589819,,,,,,,,39.0419,0.0021818984570127764,-0.0423254855595403,0.08358219725565075,0.19592364747675556,0.17498005024553107,-0.11075402293614556,,,,,,,,12.93,-0.01523229246001534,0.27893175074183985,0.7263017356475299,0.46529674991405134,0.5005202252402617,-0.18216318785578756,,,,,,,,0,,0,0,0,0,0
2017-04-29,2018,Q3,10-Q,2018-06-08,,,105383000.0,4015000.0,-9563000.0,,,,,,,,,35989000.0,13806000.0,,101368000.0,quarterly,2017-01-28,,,,,,,,,,,,,,,,,,,,,,,,,-35989000.0,,,,-42.042918454935624,,,,,,,,,,,,,,208.782,0.04417104276069028,0.12518795169035268,0.1709721926213419,0.07178625147665171,0.07764975119483612,-0.002884624568977756,,,,,,,,39.3466,0.007804435747235772,0.010003362690563344,-0.029384919753908556,0.17792685916530465,0.18639262130130171,-0.1038139598446628,,,,,,,,10.76,-0.1678267594740913,-0.18050266565118056,0.23678160919540248,0.3779205627637407,0.42276238300842606,-0.3194180898165718,,,,,,,,0,,0,0,0,0,0
2017-10-28,2019,Q2,10-Q,2019-03-12,295563000.0,166548000.0,129015000.0,9544000.0,13488000.0,298711000.0,235506000.0,131096000.0,87576000.0,178222000.0,158971000.0,78267000.0,48346000.0,24791000.0,4180000.0,27026292.0,119471000.0,quarterly,2017-04-29,76535000.0,1.4814400110712016,0.930547080914129,0.8246535531637846,2.277102738063296,0.5966368831412302,,47126000.0,0.4365059225951827,0.0322909159806877,0.04563494077404817,0.08387721061161242,0.09801971153358167,0.40421500661449505,,0.014142500921969258,,0.9894613857541236,1.9017539051795012,3.861801790030705,0.04515401173709706,0.17233316723523323,0.16255568897218076,0.1559466820992508,-24791000.0,5.288048081965229,3.873695798396531,,-2.410436055631078,,,,,,,,,,,,,,228.252,0.04951651393442247,0.09040357716120151,0.23330127408496049,0.06936609735952225,0.06924043670121365,0.0,,,,,,,,37.1504,-0.020450350682908902,-0.055105933819976194,-0.027680067001675024,0.15753945605472294,0.17346101199102038,-0.1538361671354873,,,,,,,,16.75,0.16562282533054984,0.5144665461121156,0.30553390491036625,0.33097504068627864,0.46938475997014095,-0.058459808881394015,,,,,,,,0,,0,0,0,0,0
2018-01-27,2019,Q3,10-Q,2019-06-06,295906000.0,168523000.0,127383000.0,15612000.0,3641000.0,416402000.0,358121000.0,266374000.0,80094000.0,145305000.0,129759000.0,271097000.0,51987000.0,33735000.0,8232000.0,27026292.0,111771000.0,quarterly,2017-10-28,228362000.0,2.759893340731664,2.1426413582102204,2.0528364121178493,0.5359889633599781,0.3489536553618859,,-121069000.0,0.4304846809459761,0.05275999810750712,0.012304583212236318,0.11400579913891573,0.1418254445668557,0.377724682838469,,0.027819645427939955,,0.7106257895014914,2.104065223362549,1.2957760047643654,0.008743954159682231,0.013430617085397478,0.2888200681325488,0.2599819665687929,-33735000.0,7.896072328442271,6.9261930769232904,0.0011604970852236995,-0.7300563463819691,,-0.7250622970625991,2018-01-26,21.700000762939453,,,,,,,586470557.0194244,465401557.01942444,1.5728020284124837,255.097,0.12826852310522963,0.17103457140365141,0.2739308044186093,0.06535442871241194,0.06716762158439689,0.0,,,,,,,0.08506568388863629,45.4103,0.20875268513810985,0.19121794081461885,0.14744334835957873,0.1977888227777438,0.17875178974579506,-0.0014139761537210749,,,,,,,0.47786517074186813,19.2,0.21442125237191645,0.29380053908355785,0.4769230769230768,0.33220444602396704,0.3280927201983282,-0.11764705882352955,,,,,,,1.1302083730697632,0,,0,0,0,0,0
2018-04-28,2019,Q3,10-Q,2019-06-06,316741000.0,178535000.0,138206000.0,9752000.0,9487000.0,449870000.0,386723000.0,287257000.0,82222000.0,163129000.0,143688000.0,286741000.0,61474000.0,61496000.0,12026000.0,27026292.0,128454000.0,quarterly,2018-01-27,243035000.0,2.6914077723957464,2.1191818384277044,1.9991718167139914,0.5689071322203662,0.36261364394158313,,-124128000.0,0.43633757549543634,0.030788562263805445,0.029951916550115077,0.19415232003434982,0.23212024966770958,0.4055490132316309,,0.03796792963335975,,0.7040722875497366,2.171377490209433,1.303273191104162,0.021088314401938337,0.03308560687170652,0.4506985269326729,0.4279828517343132,-61496000.0,4.671149343046702,6.684795871013513,0.07041087372341215,1.6056028563581433,,39.716738197424895,2018-04-27,21.81999969482422,0.005529904500727323,,,0.6116537125652192,,,589713683.1922302,465585683.1922302,1.4699255328240746,238.234,-0.06610426622030052,0.053685160285896316,0.13850285779825278,0.2130223773044247,0.15864512898177308,-0.06610426622030052,0.07163417072102785,,,,0.3986313352607945,,0.09159061970509759,42.6333,-0.061153526843028994,0.13483319536093297,0.0696243182080476,0.22635515739756348,0.21407607348573188,-0.06248103336807809,0.06668343134375632,,,,0.38529855516765565,,0.5118064915177624,29.5,0.5364583333333335,0.865907653383934,1.762172284644195,0.5544477183524179,0.4563787265319252,-0.035317200784826586,-0.5309284288326062,,,,0.05720599421280126,,0.7396610066042109,0,,0,0,0,0,0
2018-10-27,2020,Q2,10-Q,2020-03-10,366236000.0,201068000.0,165168000.0,10897000.0,10678000.0,550792000.0,398313000.0,173341000.0,106701000.0,217289000.0,191995000.0,333503000.0,90471000.0,50966000.0,6985000.0,27026292.0,154271000.0,quarterly,2018-04-28,206318000.0,2.074600901065132,1.5188520534388916,0.9028412198234329,0.6515353684974348,0.39450282502287615,,43948000.0,0.4509878875916076,0.02975403837962407,0.029156063303443683,0.1391616334822355,0.15823403488460994,0.42123384921198354,,0.019072401402374425,,0.6649261427181222,1.8844059568326446,1.7751044504115008,0.019386628709204202,0.032017702989178505,0.26670010907132896,0.26545482955285293,-50966000.0,3.4011105442844247,5.402201909074828,0.15626331924190429,0.12554021292294726,,-2.1165952107079367,2018-10-26,23.670000076293945,-0.17324482116191042,0.03137251805747976,,0.9380183509409347,0.9044014844323994,,639712333.7019424,683660333.7019424,1.8667207311731846,239.286,-0.04793621237078949,0.012195276709686453,0.056944972039895125,0.13965390137181682,0.11830671886089389,-0.09212458312307692,-0.12530860879112093,0.019177241347793306,,,0.7983644495691178,0.7860947655715056,0.09891928519133567,43.4376,-0.0632977450191814,0.031071528605270737,0.15175410918404952,0.1768800041640316,0.16476333844039004,-0.11577944562170606,-0.10994707614272903,0.00030098945220902174,,,0.7611383467769031,0.7396381459920094,0.5449196105745701,40.87,0.015908525975640186,0.36506346025384095,1.5119852489244008,0.49354814735216695,0.5612865085476121,-0.22667928098391676,-0.1891533471375506,-0.3336909421963612,,,0.4444702035887677,0.34311497588478734,0.579153415128308,0,,0,0,1,0,0
2019-01-26,2020,Q3,10-Q,2020-06-09,370280000.0,207131000.0,163149000.0,15411000.0,11976000.0,557051000.0,413436000.0,167496000.0,103167000.0,203762000.0,177159000.0,353289000.0,102447000.0,57667000.0,11903000.0,27026292.0,147738000.0,quarterly,2018-10-27,236277000.0,2.3337002353817757,1.7513589487409615,0.9454557770138688,0.5767572723747414,0.3657869746217133,,36266000.0,0.4406098087933456,0.041619855244679704,0.03234309171437831,0.15573890029167117,0.18788484390191207,0.3989899535486659,,0.032145943610240896,,0.664714720914243,2.007725338528793,1.5671436491914152,0.021498929182426744,0.03389859293666092,0.34142774413286087,0.3255098527311624,-57667000.0,2.9045381240570864,6.053163056506073,0.011042060310837876,0.12155834425922452,0.2527955122934873,-0.1120996441281139,2019-01-25,23.07999992370605,-0.05098683333380405,-0.2670689078608871,0.10642374153396905,0.7984435531830373,0.8680197533369776,-0.5491306789825974,623766817.2980574,660032817.2980574,1.7825235424491126,241.103,-0.02288947157255694,-0.054357119884531735,-0.04354949401184527,0.23947752794052862,0.1875866042574118,-0.08523070035323088,-0.02809736176124711,-0.21271178797635537,0.14997323554581432,-0.4638999786293665,0.5589660252425086,0.6804331490795658,0.09572672228759514,42.1078,-0.043489322457027524,-0.0940409262737556,-0.06639971975008108,0.27986981473836103,0.23066633950046683,-0.14284900041322912,-0.007497510876776525,-0.1730279815871315,0.17282346128405013,-0.40628167856936825,0.5185737384446762,0.6373534138365107,0.5481169741403268,55.0,0.28896179985938586,0.2796649604467194,1.8871391076115485,0.7692073012378152,0.639061466013773,-0.04231238028904749,-0.3399486331931899,-0.5467338683076065,-1.7807153660775794,-0.5068182986935499,0.029236251945222058,0.22895828732320456,0.4196363622492009,1,price,0,0,1,0,0
2019-04-27,2020,Q3,10-Q,2020-06-09,408893000.0,224445000.0,184448000.0,-4567000.0,7048000.0,591482000.0,442597000.0,143829000.0,110100000.0,216347000.0,189052000.0,375135000.0,109495000.0,75208000.0,24517000.0,27026292.0,189015000.0,quarterly,2019-01-26,253545000.0,2.341138945898483,1.7587594947421874,0.7607906819287815,0.5767177149559491,0.3657710631938081,,72518000.0,0.45109111674692404,-0.01116918117942836,0.017236783217125264,0.18393075939182132,0.24389021088646662,0.46226029792635237,,0.0599594514946453,,0.6913025248443739,2.0385558583106267,1.6127038592754739,0.011915831758193825,0.018787903021578897,0.4609493082871498,0.39781647377441126,-75208000.0,1.912416232315711,5.875567180754187,0.10428054445284651,-0.41148964595858384,0.3818340959629072,0.9357319417742378,2019-04-26,26.850000381469727,0.16334490772209298,0.10402963480233685,0.27918059429494657,0.6737440097560642,0.7360952672713174,-0.475483471346287,725655950.5097122,798173950.5097122,1.9520362307736063,267.318,0.10872946417091445,0.08335123261911792,0.13457351312120402,0.09526240093235035,0.18215086777683748,0.0,0.05461544355117853,0.020678402183218925,0.14460708117374255,-0.475483471346287,0.5784816088237138,0.5539443994944799,0.10044217142680152,43.308,0.028503032692280383,-0.01622586734450493,0.04109773452825105,0.15663797036355076,0.2260297831522621,-0.11841759744978664,0.1348418750298126,0.12025550214684178,0.23808285976669552,-0.35706587389650035,0.5171060393925134,0.5100654841190553,0.6199778420030878,67.71,0.231090909090909,0.5868291539723458,1.3567699269056734,0.5029414165748997,0.6473432002287492,-0.06953414868764607,-0.06774600136881603,-0.48279951917000896,-1.0775893326107269,-0.4059493226586409,0.17080259318116453,0.0887520670425681,0.39654409070255103,1,price,0,0,0,0,0
2019-11-02,2021,Q2,10-Q,2021-03-09,444815000.0,243513000.0,201302000.0,160000.0,-178000.0,797328000.0,485487000.0,151779000.0,148502000.0,388714000.0,242894000.0,408614000.0,116496000.0,27524000.0,7502000.0,27026292.0,201142000.0,quarterly,2019-04-27,242593000.0,1.9987607763057136,1.3873747395983433,0.6248775185883554,0.9512987807564107,0.48752081953725446,,236935000.0,0.4525521846160763,0.0003597001000415903,-0.00040016636129626925,0.06187740970965457,0.07874284815035464,0.4521924845160348,,0.016865438440700067,,0.5578820761342885,1.6397960970222623,1.8335854703144774,-0.00022324564043906648,-0.0004356189459979345,0.09010737971876495,0.11331692013800258,-27524000.0,5.514423775614009,4.135225839382283,0.08785183409840713,-1.025255391600454,0.40434929484973536,-1.0187625171287025,2019-11-01,23.5,0.010752688172043001,-0.1413957150372449,-0.10849774446622884,0.599106315472535,0.5764010526365488,-0.30432205893379993,635117862.0,872052862.0,1.9604843856434697,281.57,0.08365340948451694,0.055462676272800104,0.15358772871412074,0.1483550115077213,0.14222292047085017,0.0,-0.07290072131247394,-0.196858391310045,-0.2620854731803496,-0.30432205893379993,0.4507513039648137,0.43417813216569867,0.08346059594417019,41.6667,0.09398170513978443,-0.03154750836742293,-0.0583328436668038,0.2505619164825824,0.22104683524509636,-0.1053791006705358,-0.08322901696774143,-0.10984820666982198,-0.05016490079942504,-0.19894295826326414,0.3485443989899526,0.35535421739145245,0.563999548800361,45.655,-0.15359658880237292,-0.3386208894683471,0.07373000940733765,0.5294987273237418,0.5341022096317888,-0.37261234025010304,0.16434927697441593,0.1972251744311022,-0.1822277538735665,0.0682902813163031,0.0696075881487932,0.042298843004760056,0.514730040521301,0,,0,0,0,0,0
